rank,player,country,points,record,owr,oowp,deck,player_url
227,Cerys Jones,US,28,9 - 4 - 1,52.93%,53.43%,alakazam,https://play.limitlesstcg.net/0070/player/0083
228,Payton Stay,US,28,9 - 4 - 1,52.70%,54.94%,alakazam,https://play.limitlesstcg.net/0070/player/1578
229,Michael Ginchereau,US,28,9 - 4 - 1,51.31%,52.92%,beedrill,https://play.limitlesstcg.net/0070/player/2942
230,Michael Vamos,US,28,9 - 4 - 1,51.30%,54.58%,dragapult,https://play.limitlesstcg.net/0070/player/2439
231,Lucas Thiele,US,28,9 - 4 - 1,49.69%,54.62%,dragapult,https://play.limitlesstcg.net/0070/player/2299
232,Owyn Kamerman,NL,27,8 - 3 - 3,68.81%,59.26%,dragapult,https://play.limitlesstcg.net/0070/player/0942
233,Kevin Lin,US,27,8 - 3 - 3,65.09%,58.42%,grimmsnarl,https://play.limitlesstcg.net/0070/player/2563
234,Kyle Lesniewicz,US,27,9 - 5 - 0,64.99%,57.29%,dragapult,https://play.limitlesstcg.net/0070/player/3300
235,RYUKI OKADA,JP,27,9 - 5 - 0,64.12%,59.58%,dragapult,https://play.limitlesstcg.net/0070/player/1831
236,Christian D'Onofrio,IT,27,8 - 3 - 3,63.90%,58.90%,dragapult,https://play.limitlesstcg.net/0070/player/0871
237,Soichiro Kawano,JP,27,9 - 5 - 0,63.60%,58.77%,ogerpon,https://play.limitlesstcg.net/0070/player/2401
238,Andrew Weiss,US,27,8 - 3 - 3,63.13%,57.84%,dragapult,https://play.limitlesstcg.net/0070/player/1472
239,Joe Figliano,US,27,9 - 5 - 0,62.20%,53.94%,zoroark,https://play.limitlesstcg.net/0070/player/3577
240,Kenneth Hayes,US,27,8 - 3 - 3,62.05%,58.43%,dragapult,https://play.limitlesstcg.net/0070/player/2338
241,VojtÄch KotlÃ¡n,CZ,27,9 - 5 - 0,61.91%,56.72%,dragapult,https://play.limitlesstcg.net/0070/player/2443
242,Ventura QuiÃ±ones,MX,27,8 - 3 - 3,61.90%,59.84%,dragapult,https://play.limitlesstcg.net/0070/player/2679
243,Ian Robb,US,27,9 - 5 - 0,61.86%,58.66%,slowking,https://play.limitlesstcg.net/0070/player/1924
244,Matthew Martinez,US,27,9 - 5 - 0,61.48%,59.86%,garchomp,https://play.limitlesstcg.net/0070/player/1938
245,tienthomas pham,US,27,9 - 5 - 0,61.21%,59.71%,ogerpon,https://play.limitlesstcg.net/0070/player/0226
