rank,player,country,points,record,owr,oowp,deck,player_url
1,James Kowalski,US,49,16 - 1 - 1,67.84%,64.96%,clefairy,https://play.limitlesstcg.net/0070/player/2083
2,Neddy Kosek,CZ,45,15 - 3 - 0,61.76%,58.40%,dragapult,https://play.limitlesstcg.net/0070/player/2922
3,Justin Newdorf,US,41,13 - 2 - 2,70.20%,61.08%,dragapult,https://play.limitlesstcg.net/0070/player/0795
4,Ross Cawthon,US,41,13 - 2 - 2,64.99%,60.72%,slowking,https://play.limitlesstcg.net/0070/player/3526
5,Rahul Reddy,US,39,12 - 1 - 3,69.43%,62.30%,crustle,https://play.limitlesstcg.net/0070/player/1519
6,Jon Webb,US,39,13 - 3 - 0,57.93%,58.03%,dragapult,https://play.limitlesstcg.net/0070/player/3143
7,Juho Kallama,FI,38,12 - 2 - 2,67.73%,60.78%,mewtwo,https://play.limitlesstcg.net/0070/player/0558
8,Miguel Angel Marin Herrera,MX,38,12 - 2 - 2,67.11%,62.74%,dragapult,https://play.limitlesstcg.net/0070/player/3286
9,Abaan Ahmed,US,35,11 - 2 - 2,67.65%,61.71%,dragapult,https://play.limitlesstcg.net/0070/player/1497
10,Tord Reklev,NO,35,11 - 2 - 2,67.53%,62.01%,zoroark,https://play.limitlesstcg.net/0070/player/1095
11,Caleb Rogerson,US,35,11 - 2 - 2,63.01%,61.33%,dragapult,https://play.limitlesstcg.net/0070/player/0030
12,Jackson Ford,CA,34,11 - 2 - 1,66.84%,61.27%,dragapult,https://play.limitlesstcg.net/0070/player/3670
13,NATALIE Millar,AU,34,11 - 2 - 1,65.47%,59.71%,dragapult,https://play.limitlesstcg.net/0070/player/3486
14,Liam Halliburton,US,34,11 - 2 - 1,64.29%,61.24%,zoroark,https://play.limitlesstcg.net/0070/player/0010
15,Henry Chao,US,34,11 - 2 - 1,62.86%,57.92%,dragapult,https://play.limitlesstcg.net/0070/player/3281
16,Leonardo Lattanzi,IT,34,11 - 2 - 1,62.69%,60.89%,dragapult,https://play.limitlesstcg.net/0070/player/3595
17,Andrew Hedrick,US,34,11 - 2 - 1,60.88%,59.30%,dragapult,https://play.limitlesstcg.net/0070/player/3196
18,Mees Brenninkmeijer,NL,34,11 - 2 - 1,59.32%,56.18%,ogerpon,https://play.limitlesstcg.net/0070/player/1444
19,Lucas Xing,CA,34,11 - 2 - 1,56.05%,58.67%,zoroark,https://play.limitlesstcg.net/0070/player/1407
20,Nicholas Cucinelli,US,33,11 - 3 - 0,67.79%,60.83%,ogerpon,https://play.limitlesstcg.net/0070/player/2901
21,Aurora Viets,US,33,11 - 3 - 0,65.63%,61.47%,dragapult,https://play.limitlesstcg.net/0070/player/1227
22,Paolo Camus,FR,33,11 - 3 - 0,65.24%,62.03%,dragapult,https://play.limitlesstcg.net/0070/player/1048
23,Connor Cockerham,US,33,11 - 3 - 0,64.12%,59.52%,clefairy,https://play.limitlesstcg.net/0070/player/0444
24,Isaac Alexander Martinez Mendoza,MX,33,11 - 3 - 0,62.76%,63.00%,slowking,https://play.limitlesstcg.net/0070/player/2373
25,Grant Walworth,US,33,10 - 1 - 3,61.84%,55.99%,ogerpon,https://play.limitlesstcg.net/0070/player/0920
26,Hale Obernolte,US,33,10 - 1 - 3,60.89%,61.68%,crustle,https://play.limitlesstcg.net/0070/player/2454
27,Daniel Powell,UK,33,11 - 3 - 0,60.83%,58.99%,dragapult,https://play.limitlesstcg.net/0070/player/2722
28,Ben Dobberstein,US,33,11 - 3 - 0,60.19%,58.40%,ogerpon,https://play.limitlesstcg.net/0070/player/2114
29,Luke Morsa,US,33,11 - 3 - 0,58.93%,59.93%,zoroark,https://play.limitlesstcg.net/0070/player/3721
30,Carter Malnaik,US,32,10 - 2 - 2,70.28%,63.73%,crustle,https://play.limitlesstcg.net/0070/player/0458
31,Jack Moore,CA,32,10 - 2 - 2,65.60%,61.26%,dragapult,https://play.limitlesstcg.net/0070/player/3422
32,Caleb Gedemer,US,32,10 - 2 - 2,64.73%,61.03%,dragapult,https://play.limitlesstcg.net/0070/player/3655
33,Blake Underhill,US,32,10 - 2 - 2,64.12%,58.49%,dragapult,https://play.limitlesstcg.net/0070/player/0464
34,Rowan Stavenow,CA,32,10 - 2 - 2,63.78%,59.86%,dragapult,https://play.limitlesstcg.net/0070/player/2633
35,Benjamin Martinsen,NO,32,10 - 2 - 2,63.31%,57.24%,zoroark,https://play.limitlesstcg.net/0070/player/1582
36,Diego Cassiraga,AR,32,9 - 0 - 5,62.76%,61.05%,alakazam,https://play.limitlesstcg.net/0070/player/0165
37,Christopher Carillon,US,32,9 - 0 - 5,61.73%,59.22%,crustle,https://play.limitlesstcg.net/0070/player/3488
38,Elmar Tresp,DE,32,9 - 0 - 5,61.59%,58.55%,dragapult,https://play.limitlesstcg.net/0070/player/0697
39,Daichi Shimada,JP,32,10 - 2 - 2,61.20%,60.64%,dragapult,https://play.limitlesstcg.net/0070/player/3282
40,Ãjvind Svinhufvud,FI,32,10 - 2 - 2,60.39%,58.16%,zoroark,https://play.limitlesstcg.net/0070/player/2724
41,Francisco Osorio,CL,32,10 - 2 - 2,60.03%,59.18%,dragapult,https://play.limitlesstcg.net/0070/player/0231
42,Aarni Karjala,FI,32,10 - 2 - 2,59.69%,55.42%,dragapult,https://play.limitlesstcg.net/0070/player/2864
43,Jack Saunders,CA,32,10 - 2 - 2,59.18%,56.70%,dragapult,https://play.limitlesstcg.net/0070/player/0419
44,Matthew Burris,AU,32,10 - 2 - 2,59.04%,59.61%,dragapult,https://play.limitlesstcg.net/0070/player/0976
45,Jeffrey Deka,CA,32,10 - 2 - 2,58.48%,57.21%,zoroark,https://play.limitlesstcg.net/0070/player/3711
46,Evan Zhu,CA,32,10 - 2 - 2,58.04%,57.30%,zoroark,https://play.limitlesstcg.net/0070/player/2608
47,Genessa Benton,US,32,10 - 2 - 2,57.36%,59.52%,dragapult,https://play.limitlesstcg.net/0070/player/0192
48,Asher Kier,US,32,10 - 2 - 2,57.32%,57.15%,dragapult,https://play.limitlesstcg.net/0070/player/3701
49,JosÃ© Torres,US,32,10 - 2 - 2,56.86%,57.99%,dragapult,https://play.limitlesstcg.net/0070/player/1855
50,Kolton Day,US,32,10 - 2 - 2,56.85%,57.71%,dragapult,https://play.limitlesstcg.net/0070/player/3106
51,John Parsons,US,32,10 - 2 - 2,56.60%,57.88%,dragapult,https://play.limitlesstcg.net/0070/player/1348
52,Matthew Hubbard,US,31,10 - 3 - 1,67.98%,60.68%,ogerpon,https://play.limitlesstcg.net/0070/player/3200
53,Yasuyuki Handa,AU,31,10 - 3 - 1,67.35%,61.60%,zoroark,https://play.limitlesstcg.net/0070/player/3280
54,Calvin Connor,US,31,10 - 3 - 1,67.16%,59.97%,alakazam,https://play.limitlesstcg.net/0070/player/0188
55,Cooper Kull,US,31,10 - 3 - 1,66.26%,61.96%,crustle,https://play.limitlesstcg.net/0070/player/0537
56,John Salloum,US,31,10 - 3 - 1,66.20%,61.31%,zoroark,https://play.limitlesstcg.net/0070/player/3130
57,Jeremy Castro,US,31,10 - 3 - 1,64.48%,60.01%,dragapult,https://play.limitlesstcg.net/0070/player/2408
58,Adam Kalamat,CA,31,10 - 3 - 1,64.37%,59.90%,dragapult,https://play.limitlesstcg.net/0070/player/2966
59,Makani Tran,US,31,10 - 3 - 1,64.22%,60.63%,dragapult,https://play.limitlesstcg.net/0070/player/2134
60,Camden Cornwall,US,31,10 - 3 - 1,63.13%,58.77%,dragapult,https://play.limitlesstcg.net/0070/player/0895
61,Simon Feng,CA,31,10 - 3 - 1,63.08%,60.64%,dragapult,https://play.limitlesstcg.net/0070/player/1965
62,Adam Chois,US,31,10 - 3 - 1,63.07%,61.02%,dragapult,https://play.limitlesstcg.net/0070/player/0126
63,Lorenzo Gomez,US,31,10 - 3 - 1,62.40%,59.92%,crustle,https://play.limitlesstcg.net/0070/player/1844
64,Edwyn Mesman,NL,31,10 - 3 - 1,61.59%,59.52%,dragapult,https://play.limitlesstcg.net/0070/player/3379
65,Fabrizio Inga Silva,PE,31,9 - 1 - 4,61.54%,58.39%,dragapult,https://play.limitlesstcg.net/0070/player/1611
66,Keane Hauck,US,31,10 - 3 - 1,61.47%,58.02%,dragapult,https://play.limitlesstcg.net/0070/player/0553
67,Gavin Chen,US,31,10 - 3 - 1,60.61%,57.97%,typhlosion,https://play.limitlesstcg.net/0070/player/1467
68,FABIEN Pujol,FR,31,10 - 3 - 1,60.08%,59.74%,dragapult,https://play.limitlesstcg.net/0070/player/0407
69,Edward Valencia,US,31,10 - 3 - 1,59.57%,59.52%,crustle,https://play.limitlesstcg.net/0070/player/2402
70,Darren Bui,US,31,10 - 3 - 1,59.57%,58.19%,clefairy,https://play.limitlesstcg.net/0070/player/3165
71,Teja Gummadi,US,31,10 - 3 - 1,58.99%,54.75%,typhlosion,https://play.limitlesstcg.net/0070/player/2554
72,Danny Bazzi,US,31,10 - 3 - 1,58.74%,56.27%,ogerpon,https://play.limitlesstcg.net/0070/player/1333
73,Evan Bryant,US,31,9 - 1 - 4,58.71%,54.22%,crustle,https://play.limitlesstcg.net/0070/player/1294
74,Nicolai Stiborg,DK,31,10 - 3 - 1,58.65%,56.82%,lucario-mega,https://play.limitlesstcg.net/0070/player/3089
75,Takuya Yoneda,JP,31,10 - 3 - 1,58.34%,58.36%,ogerpon,https://play.limitlesstcg.net/0070/player/0358
76,Shun Takemasa,US,31,10 - 3 - 1,58.18%,59.60%,dragapult,https://play.limitlesstcg.net/0070/player/3409
77,aaron arturo aguirre osuna,MX,31,10 - 3 - 1,57.16%,55.72%,slowking,https://play.limitlesstcg.net/0070/player/2672
78,Nathian Beck,US,31,10 - 3 - 1,56.89%,56.82%,dragapult,https://play.limitlesstcg.net/0070/player/1562
79,Pedro Pertusi,BR,31,10 - 3 - 1,55.54%,57.66%,dragapult,https://play.limitlesstcg.net/0070/player/0036
80,Bradley Ireland,US,31,10 - 3 - 1,55.38%,55.12%,alakazam,https://play.limitlesstcg.net/0070/player/1445
81,Joseph Chigbrow,US,31,10 - 3 - 1,55.00%,57.46%,dragapult,https://play.limitlesstcg.net/0070/player/2419
82,Michael Davidson,US,31,10 - 3 - 1,53.42%,56.60%,dragapult,https://play.limitlesstcg.net/0070/player/1238
83,Will Herrensmith,US,31,10 - 3 - 1,52.27%,52.83%,dragapult,https://play.limitlesstcg.net/0070/player/0471
84,Joseph Feliciano Garcia,US,31,10 - 3 - 1,51.49%,55.96%,dragapult,https://play.limitlesstcg.net/0070/player/2729
85,Edward Xiao,CA,30,9 - 2 - 3,66.45%,59.31%,dragapult,https://play.limitlesstcg.net/0070/player/0374
86,Brian Du,US,30,10 - 4 - 0,66.14%,61.23%,lucario-mega,https://play.limitlesstcg.net/0070/player/2539
87,Christian LaBella,CA,30,10 - 4 - 0,64.13%,60.86%,zoroark,https://play.limitlesstcg.net/0070/player/0015
88,Hermanni Hietalahti,FI,30,10 - 4 - 0,63.71%,56.83%,zoroark,https://play.limitlesstcg.net/0070/player/1483
89,Anderson George,US,30,10 - 4 - 0,63.44%,59.00%,clefairy,https://play.limitlesstcg.net/0070/player/1764
90,Daniel Lin,CA,30,10 - 4 - 0,63.39%,60.19%,zoroark,https://play.limitlesstcg.net/0070/player/3197
91,Taylor Cook,US,30,10 - 4 - 0,63.24%,60.20%,ceruledge,https://play.limitlesstcg.net/0070/player/3110
92,Asaki Hasegawa,JP,30,10 - 4 - 0,62.16%,60.09%,dragapult,https://play.limitlesstcg.net/0070/player/1213
93,Taisei Ito,JP,30,9 - 2 - 3,60.97%,61.42%,dragapult,https://play.limitlesstcg.net/0070/player/1461
94,Justin Templer,US,30,10 - 4 - 0,60.27%,54.58%,dragapult,https://play.limitlesstcg.net/0070/player/2594
95,Julio SÃ¡nchez RodrÃ­guez,ES,30,10 - 4 - 0,59.74%,57.44%,dragapult,https://play.limitlesstcg.net/0070/player/3104
96,Alex Mullen,US,30,9 - 2 - 3,59.73%,58.91%,dragapult,https://play.limitlesstcg.net/0070/player/1623
97,Calvin Jian,US,30,10 - 4 - 0,59.71%,58.47%,dragapult,https://play.limitlesstcg.net/0070/player/0319
98,Noah Donen,CA,30,10 - 4 - 0,59.61%,56.58%,dragapult,https://play.limitlesstcg.net/0070/player/1290
99,Henry Brand,AU,30,9 - 2 - 3,59.23%,58.21%,zoroark,https://play.limitlesstcg.net/0070/player/3393
100,Sammy Goldschein,US,30,10 - 4 - 0,59.13%,59.42%,dragapult,https://play.limitlesstcg.net/0070/player/2025
101,Jerry Sheng,US,30,9 - 2 - 3,58.97%,57.93%,dragapult,https://play.limitlesstcg.net/0070/player/0630
102,Justin Blanchard,US,30,9 - 2 - 3,58.91%,56.66%,crustle,https://play.limitlesstcg.net/0070/player/2692
103,Christian Cruz,MX,30,8 - 0 - 6,58.46%,64.00%,dragapult,https://play.limitlesstcg.net/0070/player/3209
104,Michele Schiraldi,CA,30,10 - 4 - 0,57.76%,57.85%,zoroark,https://play.limitlesstcg.net/0070/player/2950
105,Giovanny Sasso,BR,30,10 - 4 - 0,54.76%,57.61%,zoroark,https://play.limitlesstcg.net/0070/player/1876
106,Michael Bergerac,US,30,9 - 2 - 3,54.32%,55.19%,zoroark,https://play.limitlesstcg.net/0070/player/3363
107,Harrison Browning,US,30,10 - 4 - 0,54.21%,57.24%,crustle,https://play.limitlesstcg.net/0070/player/2772
108,Armond Crockett,US,29,9 - 3 - 2,65.50%,58.79%,ogerpon,https://play.limitlesstcg.net/0070/player/2230
109,Kian Amini,US,29,9 - 3 - 2,65.43%,60.18%,dragapult,https://play.limitlesstcg.net/0070/player/0389
110,Fernando Cifuentes,CL,29,9 - 3 - 2,65.05%,58.44%,sylveon,https://play.limitlesstcg.net/0070/player/0594
111,Darin O'Meara,US,29,9 - 3 - 2,64.92%,59.97%,crustle,https://play.limitlesstcg.net/0070/player/0521
112,PAULO FERRAZ,BR,29,9 - 3 - 2,64.43%,59.21%,dragapult,https://play.limitlesstcg.net/0070/player/2579
113,David Walerian Rzepka,DE,29,9 - 3 - 2,63.84%,60.53%,dragapult,https://play.limitlesstcg.net/0070/player/1384
114,Bryant Suarez,US,29,9 - 3 - 2,63.82%,61.72%,raging-bolt,https://play.limitlesstcg.net/0070/player/2533
115,Charlie Lockyer,US,29,9 - 3 - 2,63.26%,58.81%,slowking,https://play.limitlesstcg.net/0070/player/1848
116,Rob Werner,US,29,9 - 3 - 2,63.03%,59.01%,dragapult,https://play.limitlesstcg.net/0070/player/1907
117,Riley McKay,CA,29,9 - 3 - 2,62.93%,59.05%,dragapult,https://play.limitlesstcg.net/0070/player/2627
118,Piper Lepine,US,29,9 - 3 - 2,62.88%,59.13%,dragapult,https://play.limitlesstcg.net/0070/player/1783
119,Jose Ordaz,US,29,9 - 3 - 2,62.88%,57.41%,alakazam,https://play.limitlesstcg.net/0070/player/0827
120,Akira Kurasaki,JP,29,9 - 3 - 2,62.69%,57.86%,zoroark,https://play.limitlesstcg.net/0070/player/2227
121,gustavo wada,BR,29,9 - 3 - 2,62.42%,59.70%,dragapult,https://play.limitlesstcg.net/0070/player/2112
122,Kendall Wuensch,US,29,9 - 3 - 2,62.22%,63.37%,alakazam,https://play.limitlesstcg.net/0070/player/1746
123,Aaron Edwards,US,29,9 - 3 - 2,62.12%,59.94%,dragapult,https://play.limitlesstcg.net/0070/player/3267
124,Richard Yannow,US,29,9 - 3 - 2,61.52%,61.45%,dragapult,https://play.limitlesstcg.net/0070/player/1743
125,Orlando Karam,US,29,9 - 3 - 2,61.48%,58.84%,dragapult,https://play.limitlesstcg.net/0070/player/3021
126,Bradley Curcio,US,29,9 - 3 - 2,61.10%,59.79%,dragapult,https://play.limitlesstcg.net/0070/player/3624
127,Hayden Selvera,US,29,9 - 3 - 2,60.69%,62.48%,crustle,https://play.limitlesstcg.net/0070/player/2572
128,Andrew Choi,US,29,9 - 3 - 2,60.57%,58.38%,grimmsnarl,https://play.limitlesstcg.net/0070/player/1484
129,Andrew Zheng,US,29,9 - 3 - 2,60.35%,58.26%,dragapult,https://play.limitlesstcg.net/0070/player/1117
130,Samuele Roma,IT,29,9 - 3 - 2,60.27%,57.89%,dragapult,https://play.limitlesstcg.net/0070/player/1863
131,Teegan Hall,US,29,9 - 3 - 2,60.26%,60.21%,zoroark,https://play.limitlesstcg.net/0070/player/2160
132,Truwin Tran,US,29,9 - 3 - 2,60.11%,56.68%,crustle,https://play.limitlesstcg.net/0070/player/0059
133,Reilly Cooper,US,29,9 - 3 - 2,60.01%,58.62%,crustle,https://play.limitlesstcg.net/0070/player/0004
134,Francisco Toloza,CL,29,9 - 3 - 2,60.00%,60.40%,slowking,https://play.limitlesstcg.net/0070/player/1700
135,Jacob Peltier,US,29,9 - 3 - 2,59.95%,54.70%,mewtwo,https://play.limitlesstcg.net/0070/player/0546
136,William Azevedo,BR,29,9 - 3 - 2,59.86%,61.10%,dragapult,https://play.limitlesstcg.net/0070/player/1847
137,Chloe Abbott,US,29,9 - 3 - 2,59.69%,57.17%,garchomp,https://play.limitlesstcg.net/0070/player/1104
138,Louis Smith,US,29,9 - 3 - 2,59.01%,56.37%,zoroark,https://play.limitlesstcg.net/0070/player/1155
139,Daniel Giger,US,29,9 - 3 - 2,58.92%,57.17%,raging-bolt,https://play.limitlesstcg.net/0070/player/0315
140,Ethan Hoang,US,29,9 - 3 - 2,58.79%,57.20%,dragapult,https://play.limitlesstcg.net/0070/player/2743
141,Dennis Peroff,CA,29,9 - 3 - 2,58.78%,58.61%,dragapult,https://play.limitlesstcg.net/0070/player/3339
142,Adrian Villapudua,US,29,9 - 3 - 2,58.48%,57.86%,dragapult,https://play.limitlesstcg.net/0070/player/3712
143,Shuto Kogawa,AU,29,9 - 3 - 2,58.46%,59.05%,dragapult,https://play.limitlesstcg.net/0070/player/1971
144,Bulin Zheng,US,29,9 - 3 - 2,58.37%,57.58%,dragapult,https://play.limitlesstcg.net/0070/player/1314
145,Jason Yip,AU,29,9 - 3 - 2,58.36%,58.19%,dragapult,https://play.limitlesstcg.net/0070/player/0465
